ELECTIVE   COURSES ,CATEGORIES 
ADVANCED  ALGORITHM,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• ACADEMIC SUBJECT
,• MATHEMATICAL SCIENCE
,• ENGINEERING
ADVANCED COMPUTER ARCHITECTURE,• HARDWARE
,• SOFTWARE
,• PROGRAMMING
,•  ACADEMIC SUBJECT 
,• ENGINEERING
ARTIFICIAL INTELLIGENCE,• HARDWARE
,• SOFTWARE
,• PROGRAMMING
,•  ACADEMIC SUBJECT 
,• INTERDISCIPLINARY STUDIES
,• ENGINEERING 
,• MATHEMATICAL SCIENCE
PROGRAMMING LANGUAGE CONCEPTS,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• ACADEMIC SUBJECT
,• ENGINEERING 
SOFTWARE TESTING,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• ACADEMIC SUBJECT
,• ENGINEERING
ADVANCED DATA MINING ,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• ACADEMIC SUBJECT
,• INTERDISCIPLINARY STUDIES
,• ENGINEERING
,• MATHEMATICAL SCIENCE
ADVANCED DATABASES,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• ACADEMIC SUBJECT
,• ENGINEERING
BIO INFORMATICS,• BIOLOGICAL SCIENCE
,• BASIC MEDICAL SCIENCES
,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• ACADEMIC SUBJECT
,• INTERDISCIPLINARY STUDIES
COMPUTER VISION AND IMAGE PROCESSING,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• PHYSICAL SCIENCES
,• ACADEMIC SUBJECT
,• INTERDISCIPLINARY STUDIES
,• ENGINEERING
DATA NETWORKS,• HARDWARE
,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
,• ACADEMIC SUBJECT
,• ENGINEERING
DESIGN PATTERNS,• SOFTWARE
,• ACADEMIC SUBJECT
,• ENGINEERING
,• PROGRAMMING
FOUNDATIONS OF BLOCKCHAIN TECHNOLOGY,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
,• BUSINESS MANAGEMENT
,• COMMERCE
,• LAW AND LEGAL STUDIES
,• INTERDISCIPLINARY STUDIES
INFORMATION   RETRIEVAL,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
MOBILE  COMPUTING,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
,• HARDWARE
NATURAL  LANGUAGE PROCESSING,• PROGRAMMING
,• MATHEMATICS
,• SOFTWARE
PROGRAM ANALYSIS AND VERIFICATION,• PROGRAMMING
,• MATHEMATICS
,• SOFTWARE
SOFTWARE METRICS  AND SOFTWARE  PROJECT MANAGEMENT,• SOFTWARE
,•  BUSINESS  MANAGEMENT
,• INTERDISCIPLINARY  SOFT SKILLS
,• PROGRAMMING
,• MATHEMATICS
CLOUD COMPTING,• HARDWARE
,• SOFTWARE
,•  BUSINESS  MANAGEMENT
,• MATHEMATICS
,• PROGRAMMING
DATA  SCIENCE,• SOFTWARE
,•  BUSINESS  MANAGEMENT
,• MATHEMATICS
,• PROGRAMMING
DEEP LEARNING,• SOFTWARE
,• MATHEMATICS
,• PROGRAMMING
DESIGN AND SECURE PROTOCOLS,• SOFTWARE
,• MATHEMATICS
,• PROGRAMMING
,• LAW AND LEGAL STUDIES
,•  BUSINESS  MANAGEMENT
INTERNET OF THINGS,• SOFTWARE
,• MATHEMATICS
,• PROGRAMMING
,• LAW AND LEGAL STUDIES
,•  BUSINESS  MANAGEMENT
,• HARDWARE
,•COMMERCE
INTRUSION  DETECTION SYSTEMS,• SOFTWARE
,• MATHEMATICS
,• PROGRAMMING
,• LAW AND LEGAL STUDIES
,• HARDWARE
,•COMMERCE
QUANTUM  COMPUTING,• MATHEMATICS
,• SOFTWARE
,• HARDWARE
,• PHYSICAL SCIENCES
,• PROGRAMMING
REAL TIME SYSTEMS,• MATHEMATICS
,• SOFTWARE
,• HARDWARE
,• PHYSICAL SCIENCES
,• PROGRAMMING
SECURE SOFTWARE ENGINEERING,• SOFTWARE
,• PROGRAMMING
,• LAW AND LEGAL STUDIES
,• HARDWARE
,• BUSINESS MANAGEMENT
SECURITY AND PRIVACAY,• SOFTWARE
,• PROGRAMMING
,• LAW AND LEGAL STUDIES
,• HARDWARE
,• BUSINESS MANAGEMENT
,• MATHEMATICS
,• INTERDISCIPLINARY  SOFT SKILLS
SERVICE ORIENTED ARCHITECTURE,• SOFTWARE
,• PROGRAMMING
,• LAW AND LEGAL STUDIES
,• BUSINESS MANAGEMENT
,• COMMERCE
SOFTWARE RELIABILITY TECHNIQUES,• SOFTWARE
,• PROGRAMMING
,• BUSINESS MANAGEMENT
,• MATHEMATICS
ADVANCED THEORETICAL COMPUTER SCIENCE,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
,• GENERAL SCIENCES
,• INTERDISCIPLINARY  SOFT SKILLS
AGRI BIOINFORMATICS ,• BIOLOGICAL SCIENCES
,• GENERAL SCIENCES
,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• BASIC MEDICAL SCIENCES
ALGORITHMIC GAME THEORY,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• BUSINESS MANAGEMENT
,• SOCIAL STUDIES HUMANITIES
,• COMMERCE
ALGORITHMIC TECHNIQUES FOR BIG DATA,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
,• COMMERCE
,• GENERAL SCIENCES
COMPUTATIONAL NEUROSCIENCE,• GENERAL SCIENCES
,• BIOLOGICAL SCIENCES
,• BASIC MEDICAL SCIENCES
,• PARA CLINICAL SCIENCES
,• CLINICAL SCIENCES
,• MATHEMATICS
,• SOFTWARE
,• PROGRAMMING
CYBER LAWS AND IPR,• LAW AND LEGAL STUDIES
,• COMMERCE
,• SOCIAL STUDIES HUMANITIES
,• INTERDISCIPLINARY  SOFT SKILLS
CYBER SECURITY ,• SOFTWARE
,• PROGRAMMING
,• LAW AND LEGAL STUDIES
,• HARDWARE
,• BUSINESS MANAGEMENT
,• INTERDISCIPLINARY  SOFT SKILLS
FOG AND EDGE COMPUTING ,• SOFTWARE
,• PROGRAMMING
,• HARDWARE
,• BUSINESS MANAGEMENT
,• INTERDISCIPLINARY  SOFT SKILLS
FORMAL METHODS IN SOFTWARE ENGINEERING,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
GAME THEORY,• MATHEMATICS
,• SOCIAL STUDIES HUMANITIES
,• COMMERCE
,• BUSINESS MANAGEMENT
GPU ARCHITECTURE AND COMPUTING,• HARDWARE
,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
HETEROGENEOUS COMPUTING,• HARDWARE
,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
HUMAN COMPUTER INTERACTION ,• SOFTWARE
,• PROGRAMMING
,• INTERDISCIPLINARY  SOFT SKILLS
,• SOCIAL STUDIES HUMANITIES
IOT SECURITY,• HARDWARE
,• SOFTWARE
,• PROGRAMMING
,• INTERDISCIPLINARY  SOFT SKILLS
,• LAW AND LEGAL STUDIES
MEDICAL IMAGE PROCESSING,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
,• GENERAL SCIENCES
,• BASIC MEDICAL SCIENCES
,• PARA CLINICAL SCIENCES
,• CLINICAL SCIENCES
,• BIOLOGICAL SCIENCES
SEMANTIC WEB,• SOFTWARE
,• PROGRAMMING
,• INTERDISCIPLINARY  SOFT SKILLS
,• MATHEMATICS
SOCIAL NETWORKS,• SOCIAL STUDIES HUMANITIES
,• SOFTWARE
,• MATHEMATICS
,• COMMERCE
,• INTERDISCIPLINARY  SOFT SKILLS
SOFTWARE DEFINED NETWORKS,• HARDWARE
,• SOFTWARE
,• PROGRAMMING
,• MATHEMATICS
,• GENERAL SCIENCES
VIRTUAL REALITY AND AUGMENTED REALITY,• HARDWARE
,• GENERAL SCIENCES
,• PHYSICAL SCIENCES
,• INTERDISCIPLINARY  SOFT SKILLS
